
# ignored species : 2

# ../ens_synthelogs.pl -d Plants -c Brassicaceae -r arabidopsis_thaliana -o  -f  -a 1 -t protein -G 75 -L 0

# supported species in NCBI taxon Brassicaceae : 4

# total selected species : 4

# re-using /homes/bcontreras/plant_tools/compara/downloads/Compara.100.protein_default.homologies.arabidopsis_thaliana.tsv.gz

# re-using /homes/bcontreras/plant_tools/compara/downloads/Arabidopsis_thaliana.TAIR10.47.gtf.gz

gene	location	arabidopsis_lyrata	brassica_rapa	brassica_oleracea	arabidopsis_thaliana
AT1G65470	1:24319396-24324091:-	scaffold_201175.1	Bra004116.1-P	Bo6g099310.1	AT1G65470.1
AT1G65480	1:24331373-24333999:+	scaffold_201177.1	Bra022475.1-P	NA	AT1G65480.2
AT1G65500	1:24357749-24358732:+	scaffold_201197.1,scaffold_201196.1,scaffold_201200.1	NA	NA	AT1G65500.1
AT1G65510	1:24359328-24360081:+	Al_scaffold_0002_1055	NA	NA	AT1G65510.2
AT1G65520	1:24361032-24362054:-	fgenesh2_kg.2__782__AT1G65520.1	NA	NA	AT1G65520.1
AT1G65540	1:24362045-24366466:-	fgenesh2_kg.2__783__AT1G65540.1	NA	NA	AT1G65540.3
AT1G65560	1:24371387-24373823:-	scaffold_201208.1	NA	NA	AT1G65560.1
AT1G65580	1:24377263-24384086:-	fgenesh2_kg.2__787__AT1G65580.1	NA	NA	AT1G65580.1
AT1G65590	1:24385552-24391208:+	fgenesh2_kg.2__788__AT1G65590.1	NA	NA	AT1G65590.1
AT1G65640	1:24410851-24413527:-	Al_scaffold_0002_1078	NA	NA	AT1G65640.2
AT1G65650	1:24415015-24417769:-	fgenesh2_kg.2__801__AT1G65650.1	NA	NA	AT1G65650.1
AT1G65660	1:24418071-24421361:-	fgenesh2_kg.2__802__AT4G37120.1	NA	NA	AT1G65660.1
AT1G65690	1:24431417-24433165:-	scaffold_201233.1	NA	NA	AT1G65690.1
AT1G65710	1:24436901-24438623:-	fgenesh1_pm.C_scaffold_2000638	NA	NA	AT1G65710.1
AT1G65720	1:24439652-24441073:-	fgenesh2_kg.2__806__AT1G65720.1	Bra004126.1-P	NA	AT1G65720.1
AT1G65730	1:24442388-24446291:+	NA	Bra004127.1-P	Bo6g099480.1	AT1G65730.1
AT1G65780	1:24462958-24466888:-	NA	Bra004128.1-P	Bo6g099490.1	AT1G65780.1
AT1G65810	1:24476949-24480869:-	Al_scaffold_0002_1121	NA	NA	AT1G65810.1
AT1G65850	1:24494678-24498826:+	Al_scaffold_0002_1132	NA	NA	AT1G65850.2
AT1G65880	1:24508482-24510742:-	Al_scaffold_0002_1135	NA	NA	AT1G65880.1
AT1G65890	1:24512438-24514659:-	Al_scaffold_0002_1135	NA	NA	AT1G65890.1
AT1G65910	1:24520668-24524260:-	Al_scaffold_0002_1137	NA	NA	AT1G65910.1
AT1G65920	1:24525102-24529362:-	fgenesh2_kg.2__825__AT1G65920.1	NA	NA	AT1G65920.1
AT1G65930	1:24538886-24542712:+	fgenesh2_kg.2__826__AT1G65930.1	NA	NA	AT1G65930.1
AT1G65960	1:24551807-24557730:+	NA	Bra004137.1-P	Bo6g099620.1	AT1G65960.2
AT1G66110	1:24609094-24610369:-	NA	Bra004146.1-P	Bo6g099690.1	AT1G66110.1
AT1G66130	1:24614817-24616960:+	scaffold_201318.1	Bra004147.1-P	Bo6g099700.1	AT1G66130.1
AT1G66140	1:24619830-24622117:-	fgenesh2_kg.2__846__AT1G66140.1	Bra004148.1-P	Bo6g099730.1	AT1G66140.1
AT1G66145	1:24628530-24628835:-	scaffold_201322.1	NA	NA	AT1G66145.1
AT1G66150	1:24631338-24634781:+	fgenesh2_kg.2__847__AT1G66150.1	NA	NA	AT1G66150.1
AT1G66200	1:24655115-24657703:-	fgenesh2_kg.2__853__AT1G66200.1	NA	NA	AT1G66200.3
AT1G66210	1:24665538-24668850:-	fgenesh2_kg.2__854__AT1G66210.1	NA	NA	AT1G66210.1
AT1G66220	1:24670536-24673661:+	fgenesh2_kg.2__855__AT1G66220.1	NA	NA	AT1G66220.1
AT1G66230	1:24677121-24678580:+	scaffold_201335.1	NA	NA	AT1G66230.1
AT1G66235	1:24682907-24683996:-	fgenesh2_kg.2__857__AT1G66235.1	NA	NA	AT1G66235.1
AT1G66240	1:24686114-24687417:-	fgenesh2_kg.2__858__AT1G66240.1	NA	NA	AT1G66240.1
AT1G66245	1:24690444-24691307:+	fgenesh2_kg.2__859__AT1G66245.1	NA	NA	AT1G66245.1
AT1G66250	1:24692799-24695660:+	scaffold_201341.1	NA	NA	AT1G66250.1
AT1G66260	1:24695637-24698914:-	fgenesh2_kg.2__861__AT1G66260.1	NA	NA	AT1G66260.1
AT1G66270	1:24699868-24703166:-	fgenesh2_kg.2__862__AT1G66280.1	NA	NA	AT1G66270.1
AT1G66280	1:24706512-24709996:-	fgenesh2_kg.2__862__AT1G66280.1	NA	NA	AT1G66280.1
AT1G66330	1:24729629-24732575:-	fgenesh2_kg.2__866__AT1G66330.2	NA	NA	AT1G66330.2
AT1G66340	1:24734162-24737756:+	fgenesh2_kg.2__867__AT1G66340.1	NA	NA	AT1G66340.1
AT1G66345	1:24737719-24739353:+	scaffold_201349.1	NA	NA	AT1G66345.1
AT1G66350	1:24748105-24750186:+	fgenesh2_kg.2__868__AT1G66350.1	NA	NA	AT1G66350.1
AT1G66360	1:24751310-24752834:+	Al_scaffold_0002_1203	NA	NA	AT1G66360.1
AT1G66370	1:24753589-24754761:+	fgenesh2_kg.2__869__AT1G66370.1	NA	NA	AT1G66370.1
AT1G66390	1:24763941-24765541:+	scaffold_201358.1	NA	NA	AT1G66390.1
AT1G66400	1:24770419-24771393:-	fgenesh2_kg.2__872__AT1G66400.1	Bra004165.1-P	Bo6g100950.1	AT1G66400.1
AT1G66410	1:24774113-24775984:-	scaffold_201361.1	NA	NA	AT1G66410.2
AT1G66420	1:24777184-24778032:+	fgenesh2_kg.2__874__AT1G66420.1	NA	NA	AT1G66420.1
AT1G66430	1:24778257-24780742:+	fgenesh2_kg.2__875__AT1G66430.1	NA	NA	AT1G66430.1
AT1G66460	1:24789735-24792163:-	fgenesh2_kg.2__876__AT1G66460.1	NA	NA	AT1G66460.3
AT1G66480	1:24805418-24807557:-	fgenesh2_kg.2__878__AT1G66480.1	NA	NA	AT1G66480.1
AT1G66500	1:24811080-24812661:-	NA	Bra004171.1-P	NA	AT1G66500.1
AT1G66510	1:24812793-24816620:+	NA	Bra004172.1-P	Bo6g101030.1	AT1G66510.2
AT1G66660	1:24861876-24863426:-	NA	Bra004176.1-P	NA	AT1G66660.2
AT1G66680	1:24866095-24869087:-	fgenesh2_kg.2__894__AT1G66680.1	Bra004178.1-P	Bo6g101120.1	AT1G66680.1
AT1G66700	1:24873206-24874766:-	fgenesh2_kg.2__896__AT1G66700.1	NA	NA	AT1G66700.1
AT1G66730	1:24884681-24892046:+	fgenesh1_pg.C_scaffold_2001004	Bra004185.1-P	Bo6g101210.1	AT1G66730.1
AT1G66740	1:24892340-24893876:+	fgenesh1_pm.C_scaffold_2000734	NA	NA	AT1G66740.1
AT1G66750	1:24894523-24897259:+	fgenesh2_kg.2__902__AT1G66750.1	NA	NA	AT1G66750.1
AT1G66760	1:24901882-24904443:+	fgenesh2_kg.2__904__AT1G66760.2	NA	NA	AT1G66760.2
AT1G66770	1:24906451-24907236:-	scaffold_201451.1	NA	NA	AT1G66770.1
AT1G66810	1:24927246-24929054:-	fgenesh2_kg.2__907__AT1G66810.1	NA	NA	AT1G66810.3
AT1G66830	1:24929898-24932937:-	fgenesh2_kg.2__909__AT1G66830.1	NA	NA	AT1G66830.1
AT1G66840	1:24933777-24936512:-	Al_scaffold_0002_1298	NA	NA	AT1G66840.2
AT1G66850	1:24936876-24937434:+	fgenesh2_kg.2__911__AT1G66850.1	NA	NA	AT1G66850.1
AT1G66855	1:24939550-24940013:-	scaffold_201463.1	NA	NA	AT1G66855.1
AT1G66860	1:24942188-24944514:+	fgenesh2_kg.2__912__AT1G66860.1	Bra040626.1-P	NA	AT1G66860.1
AT1G66880	1:24946928-24955694:+	scaffold_201470.1	Bra004194.1-P,Bra040624.1-P,Bra004195.1-P,Bra004193.1-P	NA	AT1G66880.1
AT1G66890	1:24957362-24958293:+	fgenesh2_kg.2__913__AT1G66890.1	NA	NA	AT1G66890.1
AT1G66900	1:24959250-24961616:+	scaffold_201473.1	NA	NA	AT1G66900.1
AT1G66910	1:24961634-24963946:-	scaffold_201476.1	NA	NA	AT1G66910.1
AT1G66920	1:24965134-24967586:-	scaffold_201476.1	NA	NA	AT1G66920.2
AT1G66930	1:24969937-24973320:+	fgenesh2_kg.2__916__AT1G66930.1	NA	NA	AT1G66930.2
AT1G66940	1:24973028-24974946:-	fgenesh1_pm.C_scaffold_2000750	NA	NA	AT1G66940.4
AT1G66950	1:24978121-24984619:+	scaffold_201480.1	NA	NA	AT1G66950.1
AT1G66960	1:24984878-24992043:-	fgenesh2_kg.2__921__AT1G66960.1	NA	NA	AT1G66960.2
AT1G66970	1:24992386-24996359:-	fgenesh2_kg.2__922__AT1G66970.1	NA	NA	AT1G66970.2
AT1G67035	1:25018077-25019057:+	fgenesh2_kg.2__928__AT1G67035.1	NA	Bo2g055270.1	AT1G67035.2
AT1G67040	1:25019105-25022704:-	fgenesh2_kg.2__929__AT1G67040.1	NA	NA	AT1G67040.2
AT1G67050	1:25028538-25029857:-	fgenesh2_kg.2__930__AT1G67050.1	NA	Bo2g055310.1	AT1G67050.1
AT1G67060	1:25036502-25039439:+	fgenesh2_kg.2__931__AT1G67060.1	Bra034031.1-P	Bo2g055320.1	AT1G67060.1
AT1G67070	1:25041833-25044659:+	Al_scaffold_0002_1331	Bra034030.1-P	Bo2g055350.1	AT1G67070.2
AT1G67080	1:25045151-25047103:-	scaffold_201506.1	Bra034026.1-P	NA	AT1G67080.1
AT1G67090	1:25048158-25049667:-	fgenesh2_kg.2__935__AT1G67090.1	Bra034024.1-P,Bra034029.1-P,Bra034027.1-P	NA	AT1G67090.1
AT1G67100	1:25053673-25054864:+	Al_scaffold_0002_1337	NA	Bo2g055410.1	AT1G67100.1
AT1G67110	1:25061673-25065446:-	fgenesh2_kg.2__938__AT1G67110.1	Bra034021.1-P	Bo2g055420.1	AT1G67110.1
AT1G67130	1:25099262-25100625:-	fgenesh1_pg.C_scaffold_2001046	NA	NA	AT1G67130.1
AT1G67170	1:25127173-25129464:+	fgenesh2_kg.2__944__AT1G67170.1	NA	NA	AT1G67170.1
AT1G67180	1:25129647-25132283:+	fgenesh2_kg.2__945__AT1G67180.1	NA	NA	AT1G67180.2
AT1G67190	1:25132498-25134470:+	fgenesh2_kg.2__946__AT1G67190.1	NA	NA	AT1G67190.2
AT1G67210	1:25140815-25144049:+	fgenesh2_kg.2__948__AT1G67210.1	Bra034014.1-P	Bo2g055570.1	AT1G67210.1
AT1G67220	1:25145587-25150558:+	scaffold_201525.1	Bra034013.1-P	Bo2g055610.1	AT1G67220.1
AT1G67230	1:25151211-25156389:-	NA	Bra034012.1-P	Bo2g055620.1	AT1G67230.1
AT1G67250	1:25163599-25165056:-	scaffold_201527.1	Bra034011.1-P,Bra004211.1-P	Bo2g055630.1,Bo6g103660.1	AT1G67250.1
AT1G67260	1:25167418-25169707:-	fgenesh1_pg.C_scaffold_2001059	Bra034010.1-P,Bra004212.1-P	Bo2g055640.1,Bo6g103670.1	AT1G67260.1
AT1G67270	1:25183019-25185939:-	scaffold_201530.1	NA	NA	AT1G67270.1
AT1G67280	1:25188238-25190694:-	fgenesh2_kg.2__953__AT1G67280.1	Bra004214.1-P	Bo6g103690.1	AT1G67280.1
AT1G67290	1:25190921-25193240:-	fgenesh2_kg.2__954__AT1G67290.1	Bra034008.1-P,Bra004215.1-P	Bo6g103700.1	AT1G67290.1
AT1G67300	1:25193704-25197158:-	fgenesh2_kg.2__956__AT1G67300.1	Bra004216.1-P	Bo6g103710.1	AT1G67300.2
AT1G67310	1:25198182-25203126:-	fgenesh1_pm.C_scaffold_2000778	Bra004217.1-P	Bo6g103720.1,Bo2g055720.1	AT1G67310.1
AT1G67320	1:25205279-25209101:-	fgenesh1_pm.C_scaffold_2000779	Bra034006.1-P,Bra004095.1-P	NA	AT1G67320.3
AT1G67325	1:25209394-25213253:-	NA	Bra004218.1-P,Bra004094.1-P	Bo6g103730.1,Bo6g099020.1	AT1G67325.2
AT1G67330	1:25213852-25215174:+	fgenesh2_kg.2__960__AT1G67328.1	Bra004093.1-P,Bra034005.1-P	Bo2g055770.1,Bo6g099010.1	AT1G67330.1
AT1G67340	1:25230239-25231943:+	scaffold_201543.1	Bra004092.1-P,Bra034004.1-P	Bo2g055790.1,Bo6g099000.1	AT1G67340.1
AT1G67350	1:25235271-25236878:+	fgenesh2_kg.2__963__AT1G67350.1	Bra034003.1-P,Bra004221.1-P	NA	AT1G67350.1
AT1G67360	1:25236781-25238216:-	fgenesh2_kg.2__966__AT1G67360.2	NA	NA	AT1G67360.2
AT1G67370	1:25239117-25243837:-	scaffold_201546.1	NA	NA	AT1G67370.1
AT1G67390	1:25244690-25247343:+	Al_scaffold_0002_1368	NA	NA	AT1G67390.1
AT1G67400	1:25247918-25251191:-	Al_scaffold_0002_1371	NA	NA	AT1G67400.1
AT1G67410	1:25251166-25253682:-	fgenesh1_pg.C_scaffold_2001076	NA	NA	AT1G67410.1
AT1G67420	1:25255155-25260590:+	fgenesh2_kg.2__970__AT1G67420.1	NA	NA	AT1G67420.4
AT1G67430	1:25262134-25263857:+	fgenesh2_kg.2__971__AT1G67430.1	NA	NA	AT1G67430.1
AT1G67490	1:25280410-25286749:-	fgenesh2_kg.2__975__AT1G67490.1	NA	NA	AT1G67490.1
AT1G67500	1:25287356-25296988:-	scaffold_201563.1	NA	NA	AT1G67500.2
AT1G67510	1:25297306-25300353:-	Al_scaffold_0002_1383	NA	NA	AT1G67510.1
AT1G67550	1:25312660-25317495:+	scaffold_201576.1	Bra033992.1-P	Bo2g056000.1	AT1G67550.1
AT1G67560	1:25319804-25324581:+	fgenesh2_kg.2__989__AT1G67560.1	NA	NA	AT1G67560.1
AT1G67570	1:25325138-25327286:+	Al_scaffold_0002_1396	NA	NA	AT1G67570.1
AT1G67580	1:25327282-25331461:-	fgenesh1_pg.C_scaffold_2001098	NA	NA	AT1G67580.1
AT1G67590	1:25333058-25335025:-	fgenesh2_kg.2__991__AT1G67590.1	NA	NA	AT1G67590.1
AT1G67600	1:25336235-25337747:-	fgenesh1_pm.C_scaffold_2000809	Bra004238.1-P	Bo6g103990.1	AT1G67600.1
AT1G67620	1:25340353-25342082:+	fgenesh2_kg.2__993__AT1G67620.1	NA	Bo6g104000.1	AT1G67620.1
AT1G67623	1:25342101-25343243:+	scaffold_201583.1	NA	NA	AT1G67623.1
AT1G67630	1:25344440-25348406:-	fgenesh2_kg.2__994__AT1G67630.1	NA	NA	AT1G67630.1
AT1G67640	1:25351906-25354026:-	Al_scaffold_0002_1402	NA	NA	AT1G67640.1
AT1G67650	1:25359612-25362444:-	Al_scaffold_0002_1405	NA	NA	AT1G67650.1
AT1G67660	1:25363502-25365314:+	scaffold_201591.1	NA	NA	AT1G67660.1
AT1G67670	1:25365370-25365740:+	scaffold_201592.1	NA	NA	AT1G67670.1
AT1G67680	1:25365756-25368834:-	fgenesh2_kg.2__1001__AT1G67680.1	NA	NA	AT1G67680.1
AT1G67690	1:25368874-25373977:+	fgenesh1_pm.C_scaffold_2000817	Bra004244.1-P,Bra004078.1-P	Bo6g098740.1,Bo6g105110.1	AT1G67690.1
AT1G67700	1:25374072-25376085:+	NA	Bra004077.1-P	Bo6g098720.1	AT1G67700.5
AT1G67710	1:25376679-25379217:-	scaffold_201596.1	NA	NA	AT1G67710.1
AT1G67730	1:25391338-25393889:+	fgenesh2_kg.2__1007__AT1G67730.1	NA	NA	AT1G67730.1
AT1G67740	1:25394031-25395249:-	fgenesh2_kg.2__1008__AT1G67740.1	NA	NA	AT1G67740.1
AT1G67750	1:25401514-25403595:+	fgenesh2_kg.2__1009__AT1G67750.1	Bra004254.1-P	Bo6g105220.1	AT1G67750.1
AT1G67770	1:25407864-25410165:+	fgenesh2_kg.2__1011__AT1G67770.1	Bra004255.1-P	Bo6g105230.1	AT1G67770.1
AT1G67775	1:25411312-25411696:-	fgenesh1_pm.C_scaffold_2000824,scaffold_201605.1	NA	NA	AT1G67775.1
AT1G67780	1:25412666-25415797:+	fgenesh2_kg.2__1012__AT1G67780.1	NA	NA	AT1G67780.2
AT1G67785	1:25415771-25417222:-	fgenesh2_kg.2__1013__AT1G67785.1	NA	NA	AT1G67785.1
AT1G67790	1:25417542-25420099:-	fgenesh1_pm.C_scaffold_2000827	NA	NA	AT1G67790.1
AT1G67800	1:25420646-25423731:-	fgenesh2_kg.2__1015__AT1G67800.2	NA	NA	AT1G67800.2
AT1G67810	1:25426234-25427461:+	fgenesh2_kg.2__1019__AT1G67810.1	Bra004261.1-P	Bo6g106280.1	AT1G67810.1
AT1G67820	1:25429750-25431600:+	fgenesh1_pg.C_scaffold_2001123	NA	NA	AT1G67820.1
AT1G67830	1:25431549-25433091:-	fgenesh2_kg.2__1020__AT1G67830.1	Bra033975.1-P	Bo2g056260.1,Bo2g056270.1	AT1G67830.1
AT1G67840	1:25434027-25437096:+	scaffold_201615.1	NA	NA	AT1G67840.1
AT1G67850	1:25437900-25442221:+	scaffold_201616.1	Bra004067.1-P,Bra033974.1-P	Bo6g098560.1,Bo2g056290.1	AT1G67850.3
AT1G67856	1:25442404-25443690:+	fgenesh2_kg.2__1024__AT1G67856.1	NA	NA	AT1G67856.1
AT1G67860	1:25444752-25445357:-	scaffold_201618.1	NA	NA	AT1G67860.1
AT1G67865	1:25445994-25447622:-	scaffold_201620.1,scaffold_201619.1	NA	NA	AT1G67865.1
AT1G67870	1:25449222-25451051:-	scaffold_201622.1	Bra004066.1-P	Bo6g098530.1	AT1G67870.1
AT1G67880	1:25453823-25455823:-	scaffold_201623.1	Bra004065.1-P	Bo6g098480.1	AT1G67880.1
AT1G67890	1:25457033-25462847:+	fgenesh2_kg.2__1027__AT1G67890.1	NA	NA	AT1G67890.1
AT1G67900	1:25464376-25470189:+	NA	Bra004064.1-P	Bo6g098450.1	AT1G67900.2
AT1G67910	1:25471288-25472577:-	scaffold_201626.1	Bra004063.1-P	Bo6g098440.1	AT1G67910.2
AT1G67920	1:25473544-25474140:+	scaffold_201627.1	NA	Bo6g098430.1	AT1G67920.1
AT1G67950	1:25478713-25480580:-	fgenesh2_kg.2__1062__AT1G67950.2	NA	NA	AT1G67950.2
AT1G67960	1:25480652-25484396:-	fgenesh2_kg.2__1058__AT1G67960.1	NA	NA	AT1G67960.1
AT1G67970	1:25484449-25486512:-	Al_scaffold_0002_1461	NA	NA	AT1G67970.1
AT1G67980	1:25487682-25489312:+	fgenesh2_kg.2__1055__AT1G67980.1	NA	NA	AT1G67980.1
AT1G67990	1:25489455-25490867:+	fgenesh2_kg.2__1054__AT1G67990.1	NA	Bo2g056380.1	AT1G67990.1
AT1G68000	1:25490911-25493077:+	fgenesh2_kg.2__1053__AT1G68000.1	Bra004274.1-P	NA	AT1G68000.1
AT1G68010	1:25493193-25496053:+	fgenesh2_kg.2__1052__AT1G68010.1	Bra004275.1-P	Bo6g097380.1	AT1G68010.2
AT1G68020	1:25496928-25500584:+	Al_scaffold_0002_1456	NA	Bo6g097360.1	AT1G68020.2
AT1G68030	1:25500378-25501803:-	fgenesh1_pg.C_scaffold_2001149	Bra004276.1-P	NA	AT1G68030.1
AT1G68040	1:25502864-25505263:+	fgenesh2_kg.2__1050__AT1G68040.1	Bra004277.1-P	Bo6g106490.1	AT1G68040.1
AT1G68050	1:25508639-25510907:+	fgenesh2_kg.2__1049__AT1G68050.1	NA	NA	AT1G68050.1
AT1G68060	1:25510887-25514601:-	fgenesh2_kg.2__1047__AT1G68060.1	Bra004279.1-P	Bo6g106510.1	AT1G68060.1
AT1G68070	1:25515232-25517061:-	fgenesh2_kg.2__1046__AT1G68070.1	NA	NA	AT1G68070.1
AT1G68080	1:25517411-25519653:+	scaffold_201637.1	NA	NA	AT1G68080.1
AT1G68090	1:25519305-25520895:-	fgenesh1_pm.C_scaffold_2000851	NA	NA	AT1G68090.1
AT1G68100	1:25521100-25524250:+	fgenesh1_pg.C_scaffold_2001143	NA	Bo6g106540.1	AT1G68100.1
AT1G68110	1:25524718-25526150:+	scaffold_201634.1	NA	NA	AT1G68110.1
AT1G68120	1:25526296-25527105:-	fgenesh2_kg.2__1038__AT1G68120.1	NA	Bo2g057480.1	AT1G68120.1
AT1G68130	1:25532008-25534698:+	fgenesh2_kg.2__1036__AT1G68130.1	Bra004283.1-P	Bo6g106560.1	AT1G68130.1
AT1G68140	1:25538924-25541823:-	fgenesh2_kg.2__1035__AT1G68140.1	Bra004284.1-P	Bo6g106570.1	AT1G68140.3
AT1G68150	1:25543949-25545791:+	Al_scaffold_0002_1443	Bra004285.1-P	Bo6g106590.1	AT1G68150.1
AT1G68160	1:25545758-25548894:-	NA	Bra004286.1-P	Bo6g106600.1	AT1G68160.1
AT1G68180	1:25554721-25556097:+	NA	Bra004287.1-P	Bo6g097280.1	AT1G68180.1
AT1G68185	1:25556383-25558533:+	fgenesh2_kg.2__1066__AT1G68185.1	NA	NA	AT1G68185.2
AT1G68190	1:25558794-25561248:+	fgenesh2_kg.2__1067__AT1G68190.1	NA	NA	AT1G68190.2
AT1G68200	1:25561638-25564272:+	fgenesh2_kg.2__1068__AT1G68200.1	NA	NA	AT1G68200.1
AT1G68210	1:25565983-25569302:+	fgenesh1_pm.C_scaffold_2000871	Bra004289.1-P	NA	AT1G68210.1
AT1G68220	1:25570092-25571733:+	fgenesh2_kg.2__1070__AT1G68220.1	Bra004290.1-P	NA	AT1G68220.1
AT1G68230	1:25572119-25573447:+	fgenesh1_pm.C_scaffold_2000873	NA	NA	AT1G68230.2
AT1G68238	1:25574381-25574835:+	fgenesh2_kg.2__1072__AT1G68238.1	NA	NA	AT1G68238.1
AT1G68240	1:25574864-25576129:-	fgenesh2_kg.2__1074__AT1G68240.1	NA	NA	AT1G68240.1
AT1G68250	1:25579373-25580199:-	fgenesh2_kg.2__1075__AT1G68250.2	NA	NA	AT1G68250.1
AT1G68300	1:25598331-25599350:-	fgenesh2_kg.2__1078__AT1G68300.1	Bra004295.1-P	NA	AT1G68300.1
AT1G68310	1:25599465-25601467:+	fgenesh2_kg.2__1080__AT1G68310.1	Bra004296.1-P	Bo6g106720.1	AT1G68310.1
AT1G68320	1:25603676-25605181:+	fgenesh1_pg.C_scaffold_2001171	Bra004041.1-P,Bra004297.1-P	Bo6g097180.1,Bo6g106730.1	AT1G68320.1
AT1G68330	1:25610723-25612469:+	fgenesh2_kg.2__1082__AT1G68330.1	Bra004298.1-P,Bra033947.1-P,Bra004040.1-P	Bo6g106740.1,Bo2g057780.1,Bo6g097160.1	AT1G68330.1
AT1G68340	1:25613926-25615404:-	scaffold_201671.1	Bra033946.1-P,Bra004299.1-P	Bo2g057790.1,Bo6g106750.1	AT1G68340.2
AT1G68350	1:25616405-25617265:+	fgenesh2_kg.2__1084__AT1G68350.1	Bra033945.1-P	NA	AT1G68350.1
AT1G68360	1:25621533-25622593:-	scaffold_201674.1	Bra004300.1-P,Bra033944.1-P	Bo2g057810.1,Bo6g106760.1	AT1G68360.1
AT1G68370	1:25631689-25634780:-	scaffold_201676.1	Bra004301.1-P,Bra033942.1-P	Bo6g106780.1,Bo2g057820.1	AT1G68370.1
AT1G68380	1:25635838-25637462:-	fgenesh2_kg.2__1087__AT1G68380.1	NA	Bo6g106790.1	AT1G68380.1
AT1G68390	1:25642534-25645607:+	fgenesh2_kg.2__1088__AT1G68390.1	Bra033941.1-P	Bo2g057830.1	AT1G68390.1
AT1G68400	1:25646039-25649254:-	fgenesh2_kg.2__1089__AT1G68400.1	Bra033940.1-P	Bo2g057840.1	AT1G68400.1
AT1G68410	1:25649624-25653019:-	scaffold_201680.1	Bra033938.1-P	Bo2g057860.1	AT1G68410.2
AT1G68430	1:25654630-25655574:-	scaffold_201683.1	Bra033936.1-P	Bo2g057870.1	AT1G68430.1
AT1G68440	1:25657757-25659484:+	fgenesh2_kg.2__1094__AT1G68440.1	Bra033935.1-P	Bo2g057880.1	AT1G68440.1
AT1G68450	1:25661487-25662276:-	scaffold_201685.1	Bra033934.1-P	Bo2g057900.1	AT1G68450.1
AT1G68460	1:25668610-25670345:-	fgenesh2_kg.2__1096__AT1G68460.1	Bra033933.1-P	Bo2g057920.1	AT1G68460.1
AT1G68470	1:25676361-25678468:-	fgenesh1_pg.C_scaffold_2001190	NA	NA	AT1G68470.1
AT1G68480	1:25684314-25686195:-	fgenesh2_kg.2__1097__AT1G68480.1	Bra033930.1-P	Bo2g057950.1	AT1G68480.1
AT1G68490	1:25693449-25696250:+	scaffold_201689.1	Bra033929.1-P,Bra004313.1-P	Bo6g106930.1,Bo2g057970.1	AT1G68490.1
AT1G68500	1:25701770-25702778:+	fgenesh1_pm.C_scaffold_2000901	Bra004314.1-P,Bra033928.1-P	Bo6g106940.1,Bo2g058980.1	AT1G68500.1
AT1G68510	1:25706882-25708503:+	fgenesh2_kg.2__1100__AT1G68510.1	NA	NA	AT1G68510.1
AT1G68520	1:25708175-25710989:-	scaffold_201694.1	Bra033925.1-P	Bo2g059000.1	AT1G68520.1
AT1G68530	1:25712414-25715024:-	scaffold_201695.1	Bra004034.1-P	Bo2g059030.1,Bo6g096080.1	AT1G68530.1
AT1G68540	1:25719958-25721549:+	fgenesh2_kg.2__1104__AT1G68540.1	NA	Bo6g106980.1	AT1G68540.1
AT1G68550	1:25725455-25727701:-	fgenesh2_kg.2__1107__AT1G68550.2	Bra004033.1-P,Bra033923.1-P	Bo2g060040.1,Bo6g096060.1	AT1G68550.2
AT1G68560	1:25734060-25738134:-	scaffold_201700.1	NA	NA	AT1G68560.1
AT1G68570	1:25746697-25750291:+	fgenesh2_kg.2__1109__AT1G68570.1	Bra038367.1-P,Bra004030.1-P,Bra038366.1-P	Bo2g061060.1,Bo6g096040.1	AT1G68570.1
AT1G68580	1:25752624-25756113:+	fgenesh2_kg.2__1112__AT1G68580.2	Bra004322.1-P,Bra004029.1-P	Bo6g107080.1,Bo6g096030.1	AT1G68580.2
AT1G68585	1:25756600-25757563:+	NA	Bra004028.1-P	NA	AT1G68585.1
AT1G68590	1:25757404-25758411:-	fgenesh2_kg.2__1114__AT1G68590.1	Bra004323.1-P,Bra038364.1-P,Bra004027.1-P	Bo6g096020.1,Bo2g061080.1	AT1G68590.1
AT1G68600	1:25759736-25762982:+	fgenesh2_kg.2__1116__AT1G68600.1	NA	NA	AT1G68600.1
AT1G68610	1:25763459-25764207:+	scaffold_201707.1	Bra004325.1-P	Bo6g107110.1	AT1G68610.1
AT1G68620	1:25765718-25767240:+	fgenesh2_kg.2__1118__AT1G68620.1	Bra004326.1-P,Bra004026.1-P,Bra004327.1-P	Bo6g096010.1,Bo6g107120.1	AT1G68620.1
AT1G68630	1:25768539-25770260:+	fgenesh1_pm.C_scaffold_2000914	Bra004328.1-P	Bo6g107130.1	AT1G68630.1
AT1G68640	1:25769576-25772650:-	fgenesh2_kg.2__1120__AT1G68640.1	Bra004329.1-P	Bo6g107140.1	AT1G68640.1
AT1G68650	1:25775731-25777910:+	fgenesh2_kg.2__1121__AT1G68650.1	NA	NA	AT1G68650.1
AT1G68660	1:25777851-25779249:-	scaffold_201713.1	Bra004024.1-P	Bo6g095990.1	AT1G68660.1
AT1G68670	1:25781801-25784118:+	fgenesh2_kg.2__1124__AT1G68670.1	Bra004330.1-P	Bo6g107160.1	AT1G68670.1
