source:Oryza/oryzasativa_Oryza_algEnsemblCompara_nosingles	oryza_sativa	oryza_indica	oryza_brachyantha	oryza_meridionalis	oryza_glaberrima	oryza_punctata	oryza_longistaminata	oryza_barthii	oryza_nivara	oryza_rufipogon	oryza_glumipatula	
Os02t0613100-00.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0613200-03.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0613400-01.faa	1	0	0	0	1	0	0	0	0	0	0	
Os02t0613600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0613900-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0614100-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0614200-01.faa	1	1	1	0	1	1	1	0	0	1	1	
Os02t0614250-00.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0614300-01.faa	1	0	0	0	0	0	1	1	1	0	0	
Os02t0614400-01.faa	1	1	1	0	1	2	1	1	1	1	1	
Os02t0614500-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0614600-01.faa	1	1	1	0	1	1	3	1	1	1	1	
Os02t0614732-01.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0614966-00.faa	1	3	3	2	3	0	3	3	1	0	1	
Os02t0615400-00.faa	1	3	1	1	0	1	1	1	2	2	3	
Os02t0615500-01.faa	1	0	0	0	1	0	1	0	0	0	0	
Os02t0615800-01.faa	1	3	1	1	0	0	2	1	0	0	0	
Os02t0616100-01.faa	1	3	1	1	0	1	3	0	0	2	2	
Os02t0616199-00.faa	1	0	1	0	1	1	0	1	0	1	0	
Os02t0616300-00.faa	1	1	0	1	0	1	0	0	0	1	1	
Os02t0616600-01.faa	2	0	0	1	0	0	0	0	0	0	0	
Os02t0616800-01.faa	1	1	0	0	0	0	1	0	0	1	1	
Os02t0617000-00.faa	1	1	0	1	0	0	0	1	1	2	1	
Os02t0617075-00.faa	1	1	0	1	0	1	0	0	0	0	1	
Os02t0617100-01.faa	1	1	1	0	1	1	2	1	1	1	1	
Os02t0617300-02.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0617400-01.faa	1	1	1	0	1	0	2	1	2	0	1	
Os02t0617500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0617600-03.faa	1	1	0	1	1	1	2	1	1	0	1	
Os02t0617700-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0618100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0618200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0618250-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0618400-02.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0618700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0619600-01.faa	1	1	0	0	1	1	2	1	1	1	1	
Os02t0620000-00.faa	1	0	0	0	0	0	0	1	1	0	0	
Os02t0620100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0620200-01.faa	1	1	1	0	1	1	0	0	0	0	0	
Os02t0620400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0620500-00.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0620566-00.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0620600-01.faa	1	1	1	1	1	1	1	0	1	1	1	
Os02t0621100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0621300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0621400-01.faa	1	0	0	0	1	0	0	0	0	0	0	
Os02t0621500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0621600-02.faa	1	1	0	1	1	0	0	1	1	1	1	
Os02t0621700-01.faa	1	1	1	1	1	0	1	1	1	1	1	
Os02t0621800-01.faa	1	1	1	1	1	0	0	1	1	1	1	
Os02t0622100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0622200-01.faa	1	1	2	1	1	0	1	1	1	1	1	
Os02t0622300-00.faa	1	1	1	1	1	0	1	1	1	1	1	
Os02t0622400-01.faa	1	1	1	1	1	0	0	1	1	1	0	
Os02t0623400-00.faa	1	1	0	1	1	1	0	0	1	0	1	
Os02t0623500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0623600-01.faa	1	1	1	1	0	1	0	1	1	0	1	
Os02t0623766-00.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0624100-00.faa	1	1	0	0	0	0	0	0	0	0	0	
Os02t0624300-01.faa	1	1	1	0	1	0	2	0	0	1	0	
Os02t0624400-01.faa	1	1	0	1	1	1	1	1	1	1	1	
Os02t0625000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0625100-00.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0625300-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0625500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0625900-01.faa	1	1	1	1	1	1	2	1	1	1	1	
Os02t0626100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0626400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0626532-01.faa	1	0	0	0	0	0	0	0	1	0	0	
Os02t0626600-00.faa	1	1	1	1	1	2	1	1	0	1	1	
Os02t0627100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0627700-00.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0627800-00.faa	1	0	0	0	1	0	0	1	0	1	0	
Os02t0627900-00.faa	1	1	0	1	1	1	1	2	1	1	1	
Os02t0628000-00.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0628100-01.faa	1	0	0	0	0	0	0	0	0	0	1	
Os02t0628200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0628600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0628800-01.faa	1	1	1	1	1	1	0	0	0	0	1	
Os02t0628900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0629000-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0629200-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0629266-00.faa	7	0	0	0	0	0	0	1	0	0	0	
Os02t0629332-00.faa	1	0	0	0	1	0	0	0	0	1	0	
Os02t0629400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0629800-01.faa	1	1	1	1	1	1	1	0	1	0	1	
Os02t0629900-01.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0630000-01.faa	1	1	2	1	1	1	0	0	1	0	1	
Os02t0630100-00.faa	1	1	0	0	0	0	0	1	1	1	1	
Os02t0630250-00.faa	1	1	1	0	0	0	2	0	0	1	0	
Os02t0630300-01.faa	1	1	1	1	1	1	0	0	1	1	1	
Os02t0631000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0631100-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0631200-01.faa	1	1	1	1	1	0	1	1	1	1	1	
Os02t0631500-00.faa	2	1	1	1	1	1	1	1	1	1	1	
Os02t0631700-01.faa	1	1	1	1	1	0	0	1	0	1	1	
Os02t0631801-01.faa	1	0	0	0	0	0	0	0	1	1	0	
Os02t0632100-00.faa	1	0	1	1	0	0	1	1	1	1	0	
Os02t0632500-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0632800-01.faa	1	5	2	1	0	2	2	0	1	1	3	
Os02t0632850-00.faa	1	0	0	0	0	0	0	0	1	1	0	
Os02t0632900-00.faa	1	1	1	0	0	0	0	0	0	0	0	
Os02t0633000-00.faa	1	2	0	1	1	0	0	2	1	1	0	
Os02t0633066-00.faa	1	0	0	0	0	0	1	0	1	1	1	
Os02t0633100-02.faa	1	1	1	1	0	2	1	1	1	1	1	
Os02t0633200-01.faa	1	1	1	0	0	2	1	1	1	1	1	
Os02t0633300-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0633400-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0633700-00.faa	1	0	1	1	0	0	0	0	0	0	0	
Os02t0633900-00.faa	1	2	1	1	0	1	1	1	1	1	1	
Os02t0634100-00.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0634500-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0634600-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0634700-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0634800-01.faa	1	0	1	0	0	1	0	1	1	1	1	
Os02t0634900-01.faa	1	1	1	0	0	1	1	1	1	1	0	
Os02t0635000-01.faa	1	0	1	1	0	0	1	1	1	1	1	
Os02t0635200-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0635600-01.faa	1	1	0	1	0	0	1	1	1	1	1	
Os02t0635700-01.faa	1	1	1	0	0	1	0	0	0	0	0	
Os02t0635800-01.faa	1	1	1	1	0	1	0	1	1	1	1	
Os02t0636300-01.faa	1	1	1	1	0	1	0	1	1	1	1	
Os02t0636400-01.faa	1	0	1	0	0	1	1	0	1	0	0	
Os02t0636600-00.faa	1	1	1	0	0	1	2	1	1	1	1	
Os02t0636700-01.faa	1	1	1	0	0	1	1	1	1	1	1	
Os02t0637000-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0637200-01.faa	1	1	1	1	0	1	0	0	1	1	1	
Os02t0637700-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0637800-02.faa	1	1	1	0	0	0	0	1	0	0	1	
Os02t0637900-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0638000-01.faa	1	1	1	0	0	1	0	1	1	1	1	
Os02t0638200-01.faa	1	0	0	1	0	0	0	0	0	0	0	
Os02t0638300-01.faa	1	1	0	1	0	1	0	0	1	1	1	
Os02t0638400-01.faa	1	1	0	1	0	0	1	0	1	1	1	
Os02t0638650-01.faa	1	1	1	0	0	1	0	1	1	1	1	
Os02t0638900-01.faa	1	1	0	0	0	1	1	1	1	1	1	
Os02t0639000-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0639100-00.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0639500-01.faa	1	1	0	1	0	1	1	1	1	1	1	
Os02t0639600-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0639700-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0639800-05.faa	1	0	1	1	0	1	0	1	0	1	1	
Os02t0639900-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0640000-01.faa	1	1	1	0	0	1	1	1	1	1	1	
Os02t0640100-00.faa	1	1	0	1	0	1	1	1	1	1	1	
Os02t0640200-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0640300-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0640500-01.faa	1	0	1	0	0	1	1	1	1	1	1	
Os02t0640600-00.faa	1	1	1	1	0	1	1	0	0	1	0	
Os02t0640700-01.faa	1	1	1	0	0	0	1	1	1	1	0	
Os02t0640800-03.faa	1	1	1	1	0	0	1	1	0	1	1	
Os02t0641000-00.faa	1	1	1	1	0	1	1	0	1	1	1	
Os02t0641100-00.faa	1	0	1	2	0	0	0	2	1	1	1	
Os02t0641800-02.faa	1	1	0	1	0	1	0	1	1	1	1	
Os02t0641900-01.faa	1	1	1	0	0	0	1	0	0	1	0	
Os02t0642050-00.faa	1	0	0	1	0	0	0	0	0	0	0	
Os02t0642200-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0642300-01.faa	1	1	1	1	1	1	2	1	1	1	1	
Os02t0642600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0642700-01.faa	1	1	1	1	0	0	0	1	1	1	1	
Os02t0643000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0643200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0643500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0643600-00.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0643800-01.faa	1	1	0	1	1	1	0	1	1	1	1	
Os02t0643900-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0644000-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0644100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0644200-01.faa	1	1	0	1	1	0	1	1	1	1	1	
Os02t0644500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0644400-00.faa	1	1	0	0	0	0	2	0	0	0	0	
Os02t0644600-01.faa	2	2	1	1	1	1	2	1	1	2	1	
Os02t0644700-01.faa	1	1	1	0	1	1	0	1	0	1	0	
Os02t0644900-01.faa	1	1	1	0	1	1	1	2	0	1	1	
Os02t0645000-01.faa	1	1	0	1	0	1	0	0	1	1	0	
Os02t0645100-01.faa	1	1	1	1	1	1	2	1	1	1	1	
Os02t0645600-01.faa	1	1	1	1	1	1	0	0	1	1	1	
Os02t0646200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0646400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0646500-01.faa	1	1	1	1	1	1	2	1	1	1	1	
Os02t0647300-01.faa	1	1	1	0	1	1	0	1	1	1	1	
Os02t0647900-01.faa	1	1	1	0	2	1	1	1	1	1	1	
Os02t0648100-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0648300-01.faa	1	0	0	0	0	0	1	0	0	0	0	
Os02t0648900-01.faa	1	1	0	0	0	0	0	0	0	1	0	
Os02t0649300-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0649700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0649800-01.faa	1	1	1	1	1	1	2	1	1	1	1	
Os02t0649900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0650300-01.faa	1	1	1	1	1	1	2	1	1	1	1	
Os02t0650500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0650800-00.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0650900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0651000-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0651200-00.faa	1	1	0	0	1	0	1	1	0	1	1	
Os02t0651300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0651900-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0652000-01.faa	1	1	0	0	1	1	1	1	1	1	1	
Os02t0652100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0652300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0652550-00.faa	1	0	1	0	1	1	0	1	1	1	1	
Os02t0652600-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0652800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0653200-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0653300-01.faa	1	0	0	1	1	0	0	0	0	0	0	
Os02t0653400-01.faa	1	1	0	1	1	0	0	1	1	1	1	
Os02t0653800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0653900-03.faa	1	1	1	0	1	2	1	1	1	1	1	
Os02t0654000-01.faa	1	1	1	1	1	0	0	1	0	1	0	
Os02t0654100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0654300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0654400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0654500-01.faa	1	1	1	1	1	1	1	1	0	1	1	
Os02t0654600-00.faa	1	1	1	1	1	1	3	1	1	1	1	
Os02t0654700-01.faa	1	1	1	1	1	1	0	0	1	1	1	
Os02t0655100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0655200-02.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0655300-02.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0655500-01.faa	1	1	1	0	1	1	0	0	0	0	1	
Os02t0655600-01.faa	1	1	1	1	1	1	2	1	1	1	1	
Os02t0655700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0655750-00.faa	1	0	0	0	0	0	0	1	1	1	1	
Os02t0655800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0656100-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0656200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0656300-01.faa	1	1	2	2	1	1	1	1	1	1	1	
Os02t0656400-01.faa	1	1	2	0	1	0	0	0	0	0	0	
Os02t0656500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0656600-00.faa	1	0	0	1	1	1	0	0	1	0	1	
Os02t0657000-01.faa	1	1	0	1	0	1	0	1	1	1	1	
Os02t0657550-01.faa	1	1	0	0	1	0	0	1	0	0	0	
Os02t0657600-00.faa	1	1	1	1	1	0	1	1	1	1	1	
Os02t0657700-01.faa	1	1	1	1	1	0	1	1	1	1	0	
Os02t0658000-01.faa	1	1	1	1	1	0	0	1	1	1	1	
Os02t0658100-01.faa	1	1	1	0	1	0	0	1	1	1	1	
Os02t0658200-01.faa	1	0	1	1	1	0	1	0	1	1	1	
Os02t0658300-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0658400-01.faa	1	1	0	1	1	1	1	1	1	1	1	
Os02t0658500-01.faa	1	0	1	0	1	0	0	0	0	0	0	
Os02t0658600-00.faa	1	1	1	1	1	1	1	0	1	0	0	
Os02t0658800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0658900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0659100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0659500-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0659700-00.faa	1	0	1	0	1	0	0	1	1	0	1	
Os02t0660800-00.faa	1	1	0	1	1	1	1	1	1	1	1	
Os02t0661000-00.faa	1	1	1	1	1	1	1	1	1	0	0	
Os02t0661100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0661200-01.faa	1	0	0	0	1	0	0	0	0	0	0	
Os02t0661300-01.faa	1	1	1	1	1	1	1	0	1	1	1	
Os02t0661400-00.faa	1	0	1	1	1	1	0	0	1	1	1	
Os02t0661500-02.faa	1	0	0	1	1	1	0	1	1	1	1	
Os02t0661600-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0661800-01.faa	1	1	1	0	1	0	1	1	0	0	0	
Os02t0661900-02.faa	1	1	1	1	1	0	0	1	1	1	0	
Os02t0662000-01.faa	1	1	1	1	0	1	1	0	1	1	1	
Os02t0662100-01.faa	1	1	1	1	1	0	1	1	1	1	0	
Os02t0662200-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0662300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0662700-01.faa	1	1	1	0	1	0	1	1	1	1	1	
Os02t0663100-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0663300-00.faa	1	1	1	1	1	2	1	1	1	1	1	
Os02t0663800-01.faa	1	1	1	1	1	0	2	0	0	0	0	
Os02t0663900-01.faa	1	1	0	1	1	1	0	1	1	1	1	
Os02t0664000-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0664100-00.faa	2	1	1	1	1	1	2	1	1	1	1	
Os02t0664300-01.faa	1	1	1	0	1	0	0	0	0	1	1	
Os02t0664400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0664700-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0665000-01.faa	1	1	0	2	1	0	1	1	1	1	1	
Os02t0665200-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0665250-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0665300-02.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0665400-03.faa	1	0	0	1	0	2	0	1	0	0	0	
Os02t0665500-01.faa	1	1	1	1	1	1	2	1	1	1	0	
Os02t0665600-01.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0665800-01.faa	1	0	0	0	0	0	1	0	0	0	0	
Os02t0666000-01.faa	1	0	0	0	1	0	0	0	1	0	0	
Os02t0666200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0666250-00.faa	1	0	0	0	0	0	1	0	0	0	0	
Os02t0666300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0666500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0666600-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0666700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0666800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0666900-00.faa	1	1	1	1	1	1	1	0	1	1	1	
Os02t0667000-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0667100-00.faa	1	1	0	1	1	0	0	0	1	1	1	
Os02t0667300-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0667500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0667600-03.faa	1	1	0	1	0	1	0	0	0	1	1	
Os02t0668000-01.faa	1	1	1	0	1	0	0	0	0	0	0	
Os02t0668100-01.faa	1	1	0	0	1	0	0	0	0	0	0	
Os02t0668350-00.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0668400-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0668500-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0668900-00.faa	1	1	1	1	1	2	1	1	1	1	1	
Os02t0669000-01.faa	1	1	1	0	1	2	1	1	1	1	1	
Os02t0669100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0669366-00.faa	2	0	1	0	0	0	0	0	0	0	0	
Os02t0669500-01.faa	1	0	0	0	0	0	1	1	0	0	0	
Os02t0669700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0669900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0670000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0670100-00.faa	1	0	0	0	0	0	0	0	1	1	1	
Os02t0670200-00.faa	2	0	1	0	0	0	0	0	0	0	0	
Os02t0670400-01.faa	1	1	1	1	0	1	0	1	1	1	1	
Os02t0670500-01.faa	1	1	0	1	1	0	0	1	1	1	1	
Os02t0670700-01.faa	1	0	0	0	1	0	0	0	0	0	1	
Os02t0670900-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0671100-01.faa	1	1	0	1	1	1	1	2	1	1	1	
Os02t0671200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0671300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0671800-01.faa	1	1	1	0	1	0	0	0	0	0	0	
Os02t0671950-01.faa	1	1	0	0	0	0	0	0	0	0	0	
Os02t0672100-01.faa	1	1	2	2	1	1	2	1	1	1	1	
Os02t0672200-01.faa	1	1	3	1	1	1	1	1	1	1	1	
Os02t0672250-00.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0672400-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0672500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0672600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0672700-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0672800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0673000-01.faa	1	0	1	1	0	1	1	1	1	1	1	
Os02t0673100-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0673301-00.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0673500-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0673600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0673700-01.faa	1	1	2	1	0	1	0	1	1	1	1	
Os02t0674233-00.faa	1	1	0	0	1	2	0	1	1	1	1	
Os02t0674700-00.faa	1	1	0	1	1	2	1	1	1	1	1	
Os02t0674800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0675000-01.faa	2	0	0	0	1	0	0	1	0	0	0	
Os02t0675100-01.faa	1	0	0	0	1	0	0	2	0	1	0	
Os02t0675400-00.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0675700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0675750-00.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0675800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0676000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0676400-00.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0676500-00.faa	1	1	1	1	0	1	0	1	1	1	1	
Os02t0676800-01.faa	1	1	1	1	0	1	0	1	1	1	1	
Os02t0677300-02.faa	1	1	0	1	0	1	0	1	1	1	1	
Os02t0677600-01.faa	1	1	1	1	0	1	0	1	1	1	1	
Os02t0677700-01.faa	1	1	1	1	1	2	1	2	2	2	2	
Os02t0677800-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0678200-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0678300-01.faa	1	1	1	1	0	1	2	1	1	1	1	
Os02t0678400-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os02t0678800-01.faa	1	1	0	1	1	1	0	1	1	1	1	
Os02t0679200-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0679500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0679700-01.faa	1	1	0	1	1	0	0	0	1	1	1	
Os02t0680400-01.faa	1	1	1	1	1	1	1	0	0	0	0	
Os02t0680500-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0680600-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0680700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0681000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0681100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0681200-01.faa	1	1	0	1	1	1	0	0	1	1	1	
Os02t0681632-00.faa	1	1	1	1	1	1	0	0	1	1	1	
Os02t0681700-01.faa	1	0	0	0	0	0	1	1	0	0	0	
Os02t0681900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0682200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0682300-01.faa	1	1	0	1	0	1	0	1	1	1	1	
Os02t0682500-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os02t0682600-01.faa	1	1	0	0	1	1	0	1	1	1	1	
Os02t0682700-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0683500-01.faa	1	1	1	1	1	0	0	1	1	1	1	
Os02t0683800-01.faa	1	0	1	0	1	0	0	0	0	0	0	
Os02t0683900-01.faa	1	1	0	1	1	1	0	1	1	1	1	
Os02t0684000-00.faa	1	1	0	1	1	1	0	0	1	0	0	
Os02t0684100-00.faa	1	1	0	0	1	1	1	1	1	1	1	
Os02t0684150-00.faa	1	2	1	1	2	1	1	1	1	1	2	
Os02t0684300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0684400-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0684500-00.faa	2	0	0	0	3	1	0	0	1	0	0	
Os02t0684600-01.faa	1	0	0	0	0	0	1	0	0	0	0	
Os02t0684800-01.faa	1	1	0	0	1	0	0	0	0	0	0	
Os02t0684900-01.faa	1	1	1	0	1	1	1	2	1	1	1	
Os02t0685200-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os02t0685600-01.faa	1	1	0	1	1	1	1	1	1	1	1	
Os02t0685750-02.faa	1	0	1	0	0	0	0	0	0	0	0	
Os02t0685900-00.faa	1	1	1	1	1	1	1	1	1	1	1	
Os02t0686100-00.faa	1	0	0	1	0	1	0	0	1	1	0	
